"filename", "language", "HTML", "JavaScript", "JSON", "CSS", "Markdown", "XML", "comment", "blank", "total"
"/Users/antonpettersson/Projects/NoQueue/ScanAndPay/src/components/scan-info.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 11, 61
"/Users/antonpettersson/Projects/NoQueue/ScanAndPay/src/gs1-parser.js", "JavaScript", 0, 916, 0, 0, 0, 0, 398, 55, 1369
"/Users/antonpettersson/Projects/NoQueue/ScanAndPay/src/hm-isac-pwa-client.js", "JavaScript", 0, 162, 0, 0, 0, 0, 6, 36, 204
"/Users/antonpettersson/Projects/NoQueue/ScanAndPay/src/redux/airLiftSlice.js", "JavaScript", 0, 31, 0, 0, 0, 0, 1, 5, 37
"/Users/antonpettersson/Projects/NoQueue/ScanAndPay/src/redux/store.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"/Users/antonpettersson/Projects/NoQueue/ScanAndPay/src/utilities.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 9, 43
"/Users/antonpettersson/Projects/NoQueue/ScanAndPay/tags.html", "HTML", 183, 0, 0, 0, 0, 0, 0, 36, 219
"/Users/antonpettersson/Projects/NoQueue/ScanAndPay/test/hm-isac-pwa-client.test.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 5, 22
"/Users/antonpettersson/Projects/NoQueue/ScanAndPay/web-dev-server.config.mjs", "JavaScript", 0, 10, 0, 0, 0, 0, 10, 7, 27
"/Users/antonpettersson/Projects/NoQueue/ScanAndPay/web-test-runner.config.mjs", "JavaScript", 0, 15, 0, 0, 0, 0, 17, 10, 42
"Total", "-", 2322, 3121, 18777, 48, 21, 2, 928, 857, 26076
